State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5     Wtd AM (µg/m3) ,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
Alabama,Baldwin County,01003,182265,ND,ND,ND,ND,0.063,ND,7.5,15,ND
Alabama,Clay County,01027,13932,ND,ND,ND,ND,ND,ND,7.4,15,ND
Alabama,Colbert County,01033,54428,ND,ND,ND,ND,0.056,ND,IN,IN,ND
Alabama,DeKalb County,01049,71109,ND,ND,ND,ND,0.062,ND,IN,IN,ND
Alabama,Elmore County,01051,79303,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Alabama,Escambia County,01053,38319,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Etowah County,01055,104430,ND,ND,ND,ND,0.063,ND,8.3,16,ND
Alabama,Houston County,01069,101547,ND,ND,ND,ND,0.057,ND,8.1,17,ND
Alabama,Jefferson County,01073,658466,1,ND,12,50,0.074,106,10.4,21,41
Alabama,Madison County,01089,334811,ND,ND,ND,ND,0.063,34,7.4,14,ND
Alabama,Mobile County,01097,412992,ND,ND,ND,ND,0.059,ND,8.3,17,22
Alabama,Montgomery County,01101,229363,ND,ND,ND,ND,0.06,33,9,16,ND
Alabama,Morgan County,01103,119490,ND,ND,ND,ND,0.064,ND,7.6,14,ND
Alabama,Pike County,01109,32899,ND,0.16,ND,ND,ND,ND,ND,ND,ND
Alabama,Russell County,01113,52947,ND,ND,ND,ND,0.061,ND,9.4,21,ND
Alabama,Shelby County,01117,195085,ND,ND,ND,ND,0.07,ND,IN,IN,78
Alabama,Sumter County,01119,13763,ND,ND,ND,ND,0.057,ND,IN,IN,4
Alabama,Talladega County,01121,82291,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Tuscaloosa County,01125,194656,ND,ND,ND,ND,0.06,ND,7.9,15,ND
Alabama,Walker County,01127,67023,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alaska,Anchorage Municipality,02020,291826,2,ND,ND,ND,ND,98,8.2,42,ND
Alaska,Bethel Census Area,02050,17013,ND,ND,ND,ND,ND,99,ND,ND,ND
Alaska,Denali Borough,02068,1826,ND,ND,ND,ND,0.053,ND,IN,IN,ND
Alaska,Fairbanks North Star Borough,02090,97581,2,ND,IN,IN,0.047,200,15.5,78,30
Alaska,Juneau City and Borough,02110,31275,ND,ND,ND,ND,ND,50,6.8,25,ND
Alaska,Kenai Peninsula Borough,02122,55400,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alaska,Ketchikan Gateway Borough,02130,13477,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alaska,Matanuska-Susitna Borough,02170,88995,ND,ND,ND,ND,ND,148,6.5,28,ND
Alaska,Skagway Municipality,02232,968,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arizona,Apache County,04001,71518,ND,ND,ND,ND,ND,38,2.4,7,ND
Arizona,Cochise County,04003,131346,ND,ND,ND,ND,0.066,97,5.1,10,ND
Arizona,Coconino County,04005,134421,ND,ND,ND,ND,0.063,ND,IN,IN,ND
Arizona,Gila County,04007,53597,ND,0.16,ND,ND,0.075,191,IN,IN,191
Arizona,La Paz County,04012,20489,ND,ND,ND,ND,0.062,40,3.3,7,ND
Arizona,Maricopa County,04013,3817117,2,0.05,25,52,0.076,183,8.4,23,5
Arizona,Mohave County,04015,200186,ND,ND,ND,ND,ND,72,IN,IN,ND
Arizona,Navajo County,04017,107449,ND,ND,ND,ND,0.066,35,ND,ND,ND
Arizona,Pima County,04019,980263,1,ND,7,30,0.065,139,3.8,9,1
Arizona,Pinal County,04021,375770,ND,ND,ND,ND,0.072,990,10.9,30,ND
Arizona,Santa Cruz County,04023,47420,ND,ND,ND,ND,ND,108,8.8,25,ND
Arizona,Yavapai County,04025,211033,ND,ND,ND,ND,0.061,ND,IN,IN,ND
Arizona,Yuma County,04027,195751,ND,ND,ND,ND,0.065,174,7.9,16,ND
Arkansas,Arkansas County,05001,19019,ND,ND,ND,ND,ND,ND,7.9,19,ND
Arkansas,Ashley County,05003,21853,ND,ND,ND,ND,ND,ND,8.2,17,ND
Arkansas,Benton County,05007,221339,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Clark County,05019,22995,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Arkansas,Craighead County,05031,96443,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Crittenden County,05035,50902,ND,ND,8,40,0.064,ND,8.3,18,ND
Arkansas,Faulkner County,05045,113237,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Garland County,05051,96024,ND,ND,ND,ND,ND,ND,8.8,16,ND
Arkansas,Jackson County,05067,17997,ND,ND,ND,ND,ND,ND,8.2,18,ND
Arkansas,Jefferson County,05069,77435,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Marion County,05089,16653,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Miller County,05091,43462,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Mississippi County,05093,46480,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Newton County,05101,8330,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Arkansas,Phillips County,05107,21757,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Polk County,05113,20662,ND,ND,ND,ND,0.062,ND,8.6,17,ND
Arkansas,Pope County,05115,61754,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Pulaski County,05119,382748,1,ND,8,38,0.06,38,10.3,23,13
Arkansas,Sebastian County,05131,125744,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Union County,05139,41639,ND,ND,ND,ND,ND,ND,9,18,ND
Arkansas,Washington County,05143,203065,ND,ND,ND,ND,0.061,26,8,19,ND
Arkansas,White County,05145,77076,ND,ND,ND,ND,ND,ND,IN,IN,ND
California,Alameda County,06001,1510271,2,ND,15,48,0.072,ND,9.4,19,9
California,Amador County,06005,38091,ND,ND,ND,ND,0.067,ND,ND,ND,ND
California,Butte County,06007,220000,1,ND,7,35,0.063,53,IN,IN,ND
California,Calaveras County,06009,45578,ND,ND,ND,ND,0.066,43,5.5,13,ND
California,Colusa County,06011,21419,ND,ND,ND,ND,0.053,110,7,24,ND
California,Contra Costa County,06013,1049025,2,ND,7,34,0.069,34,7.8,17,15
California,Del Norte County,06015,28610,ND,ND,ND,ND,ND,ND,IN,IN,ND
California,El Dorado County,06017,181058,ND,ND,ND,ND,0.071,43,IN,IN,ND
California,Fresno County,06019,930450,1,ND,20,63,0.08,234,11.2,37,6
California,Glenn County,06021,28122,ND,ND,ND,ND,0.058,115,ND,ND,ND
California,Humboldt County,06023,134623,1,ND,2,17,0.046,44,6.8,18,1
California,Imperial County,06025,174528,3,ND,9,49,0.08,162,10.7,27,5
California,Inyo County,06027,18546,1,ND,ND,ND,0.069,529,5.2,16,0
California,Kern County,06029,839631,1,ND,12,56,0.084,382,13,47,ND
California,Kings County,06031,152982,ND,ND,8,49,0.076,469,12.2,45,ND
California,Lake County,06033,64665,ND,ND,ND,ND,0.051,21,3.1,8,ND
California,Los Angeles County,06037,9818605,3,0.02,23,78,0.101,159,11,28,8
California,Madera County,06039,150865,ND,ND,6,29,0.075,155,IN,IN,ND
California,Marin County,06041,252409,1,ND,8,40,0.059,30,6.4,14,ND
California,Mariposa County,06043,18251,ND,ND,ND,ND,0.071,124,ND,ND,ND
California,Mendocino County,06045,87841,ND,ND,ND,ND,0.051,38,6,16,ND
California,Merced County,06047,255793,ND,ND,6,34,0.072,80,9.6,30,ND
California,Modoc County,06049,9686,ND,ND,ND,ND,ND,ND,IN,IN,ND
California,Mono County,06051,14202,ND,ND,ND,ND,ND,3427,8.5,33,ND
California,Monterey County,06053,415057,1,ND,4,26,0.058,76,5.5,12,ND
California,Napa County,06055,136484,1,ND,5,29,0.06,29,5.9,14,ND
California,Nevada County,06057,98764,ND,ND,ND,ND,0.072,ND,6.3,16,ND
California,Orange County,06059,3010232,2,ND,19,50,0.082,105,9.4,24,ND
California,Placer County,06061,348432,ND,ND,7,43,0.079,54,7.2,20,ND
California,Plumas County,06063,20007,ND,ND,ND,ND,ND,ND,12.2,43,ND
California,Riverside County,06065,2189641,1,0.01,14,53,0.096,243,12.7,36,1
California,Sacramento County,06067,1418788,1,ND,12,55,0.071,90,8.4,30,3
California,San Benito County,06069,55269,ND,ND,ND,ND,0.062,75,4.9,11,ND
California,San Bernardino County,06071,2035210,1,0.01,29,74,0.106,165,12.8,36,7
California,San Diego County,06073,3095313,2,0.02,14,47,0.076,153,13.7,27,1
California,San Francisco County,06075,805235,1,ND,10,46,0.053,IN,7.7,18,ND
California,San Joaquin County,06077,685306,1,ND,12,58,0.069,123,9.3,33,ND
California,San Luis Obispo County,06079,269637,ND,ND,4,27,0.07,129,7,20,1
California,San Mateo County,06081,718451,1,ND,9,44,0.054,ND,7,17,ND
California,Santa Barbara County,06083,423895,1,ND,5,26,0.068,87,6.8,16,3
California,Santa Clara County,06085,1781642,2,0.07,14,52,0.064,53,9.1,21,2
California,Santa Cruz County,06087,262382,ND,ND,ND,ND,0.052,ND,6.5,13,ND
California,Shasta County,06089,177223,ND,ND,ND,ND,0.063,32,6.7,23,ND
California,Siskiyou County,06093,44900,ND,ND,ND,ND,0.056,ND,5.9,20,ND
California,Solano County,06095,413344,2,ND,7,41,0.066,35,8.6,19,4
California,Sonoma County,06097,483878,1,ND,4,28,0.056,73,5.7,14,ND
California,Stanislaus County,06099,514453,1,ND,9,44,0.079,104,10.6,36,ND
California,Sutter County,06101,94737,ND,ND,6,40,0.065,78,8.4,27,ND
California,Tehama County,06103,63463,ND,ND,ND,ND,0.066,33,5.4,15,ND
California,Trinity County,06105,13786,ND,ND,ND,ND,ND,ND,IN,IN,ND
California,Tulare County,06107,442179,ND,ND,10,55,0.083,284,12.9,46,ND
California,Tuolumne County,06109,55365,ND,ND,ND,ND,0.069,ND,ND,ND,ND
California,Ventura County,06111,823318,ND,ND,7,34,0.072,163,7.3,17,ND
California,Yolo County,06113,200849,ND,ND,4,24,0.065,72,IN,IN,ND
Colorado,Adams County,08001,441603,1,ND,17,62,0.06,111,9,23,6
Colorado,Arapahoe County,08005,572003,ND,ND,ND,ND,0.073,ND,6,27,ND
Colorado,Archuleta County,08007,12084,ND,ND,2,IN,0.062,50,IN,IN,IN
Colorado,Boulder County,08013,294567,ND,ND,ND,ND,0.069,52,7.4,36,ND
Colorado,Clear Creek County,08019,9088,ND,ND,ND,ND,0.067,ND,ND,ND,ND
Colorado,Delta County,08029,30952,ND,ND,2,12,0.059,25,3.7,7,ND
Colorado,Denver County,08031,600158,2,ND,27,69,0.067,73,10,29,7
Colorado,Douglas County,08035,285465,ND,ND,ND,ND,0.078,ND,6.2,25,ND
Colorado,Elbert County,08039,23086,ND,ND,ND,ND,ND,ND,IN,IN,ND
Colorado,El Paso County,08041,622263,2,ND,ND,ND,0.065,32,5,13,10
Colorado,Fremont County,08043,46824,ND,ND,ND,ND,ND,IN,ND,ND,ND
Colorado,Garfield County,08045,56389,ND,ND,4,IN,0.063,21,3.5,8,ND
Colorado,Gilpin County,08047,5441,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Colorado,Gunnison County,08051,15324,ND,ND,ND,ND,0.066,ND,IN,IN,ND
Colorado,Jefferson County,08059,534543,ND,ND,4,IN,0.075,ND,ND,ND,ND
Colorado,La Plata County,08067,51334,0,ND,5,IN,0.063,26,IN,IN,ND
Colorado,Larimer County,08069,299630,1,ND,ND,ND,0.071,ND,6,20,ND
Colorado,Mesa County,08077,146723,1,ND,ND,ND,0.063,33,5,15,ND
Colorado,Montezuma County,08083,25535,ND,ND,ND,ND,0.065,ND,IN,IN,ND
Colorado,Park County,08093,16206,ND,ND,ND,ND,ND,ND,IN,IN,ND
Colorado,Pitkin County,08097,17148,ND,ND,ND,ND,ND,34,ND,ND,ND
Colorado,Prowers County,08099,12551,ND,ND,ND,ND,ND,95,ND,ND,ND
Colorado,Pueblo County,08101,159063,ND,ND,ND,ND,ND,50,4.7,8,ND
Colorado,Rio Blanco County,08103,6666,ND,ND,3,25,0.064,ND,7.9,12,ND
Colorado,Routt County,08107,23509,ND,ND,ND,ND,ND,73,IN,IN,ND
Colorado,San Miguel County,08113,7359,ND,ND,ND,ND,ND,47,IN,IN,ND
Colorado,Weld County,08123,252825,1,ND,ND,ND,0.065,ND,9,26,ND
Connecticut,Fairfield County,09001,916829,2,ND,8,IN,0.084,43,7.8,20,3
Connecticut,Hartford County,09003,894014,1,ND,13,42,0.072,52,7.3,17,ND
Connecticut,Litchfield County,09005,189927,0,ND,ND,ND,0.062,21,4.6,11,2
Connecticut,Middlesex County,09007,165676,ND,ND,ND,ND,0.076,ND,ND,ND,ND
Connecticut,New Haven County,09009,862477,1,ND,12,46,0.084,67,7.7,18,2
Connecticut,New London County,09011,274055,ND,ND,ND,ND,0.075,30,6.5,16,ND
Connecticut,Tolland County,09013,152691,ND,ND,ND,ND,0.073,ND,ND,ND,ND
Connecticut,Windham County,09015,118428,ND,ND,ND,ND,0.066,ND,ND,ND,ND
Delaware,Kent County,10001,162310,ND,ND,ND,ND,0.062,ND,7.6,19,ND
Delaware,New Castle County,10003,538479,1,ND,10,IN,0.068,ND,7.8,21,10
Delaware,Sussex County,10005,197145,ND,ND,ND,ND,0.065,ND,7.6,21,1
District of Columbia,District of Columbia,11001,601723,2,ND,14,49,0.071,46,8.9,24,5
Florida,Alachua County,12001,247336,ND,ND,ND,ND,0.06,ND,7.1,16,ND
Florida,Baker County,12003,27115,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Florida,Bay County,12005,168852,ND,ND,ND,ND,0.062,ND,IN,IN,ND
Florida,Brevard County,12009,543376,ND,ND,ND,ND,0.058,47,IN,IN,ND
Florida,Broward County,12011,1748066,2,ND,15,48,0.058,49,8.9,18,1
Florida,Citrus County,12017,141236,ND,ND,ND,ND,ND,ND,IN,IN,11
Florida,Collier County,12021,321520,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Florida,Columbia County,12023,67531,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Florida,Duval County,12031,864263,1,ND,11,39,0.065,57,8.6,20,22
Florida,Escambia County,12033,297619,ND,ND,ND,ND,0.064,ND,8.4,20,12
Florida,Flagler County,12035,95696,ND,ND,ND,ND,0.056,ND,ND,ND,ND
Florida,Hamilton County,12047,14799,ND,ND,ND,ND,ND,ND,ND,ND,10
Florida,Highlands County,12055,98786,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Florida,Hillsborough County,12057,1229226,1,0.09,10,37,0.07,64,IN,IN,11
Florida,Holmes County,12059,19927,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Florida,Indian River County,12061,138028,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Florida,Lake County,12069,297052,ND,ND,ND,ND,0.067,ND,ND,ND,ND
Florida,Lee County,12071,618754,ND,ND,ND,ND,0.062,51,7.4,14,ND
Florida,Leon County,12073,275487,ND,ND,ND,ND,0.063,ND,7.7,20,ND
Florida,Liberty County,12077,8365,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Florida,Manatee County,12081,322833,ND,ND,ND,ND,0.068,ND,IN,IN,5
Florida,Marion County,12083,331298,ND,ND,ND,ND,0.062,ND,IN,IN,ND
Florida,Martin County,12085,146318,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Florida,Miami-Dade County,12086,2496435,1,ND,11,47,0.06,54,7.7,19,IN
Florida,Nassau County,12089,73314,ND,ND,ND,ND,ND,ND,ND,ND,41
Florida,Okaloosa County,12091,180822,ND,ND,ND,ND,0.063,65,ND,ND,ND
Florida,Orange County,12095,1145956,1,ND,4,30,0.065,47,6.5,16,3
Florida,Osceola County,12097,268685,ND,ND,ND,ND,0.072,ND,ND,ND,ND
Florida,Palm Beach County,12099,1320134,ND,ND,IN,IN,0.059,51,6.7,18,ND
Florida,Pasco County,12101,464697,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Florida,Pinellas County,12103,916542,1,ND,8,28,0.067,58,7.7,17,8
Florida,Polk County,12105,602095,ND,ND,ND,ND,0.067,57,7.7,19,26
Florida,Putnam County,12107,74364,ND,ND,ND,ND,ND,60,ND,ND,9
Florida,St. Lucie County,12111,277789,ND,ND,ND,ND,0.059,ND,IN,IN,ND
Florida,Santa Rosa County,12113,151372,ND,ND,ND,ND,0.065,ND,IN,IN,ND
Florida,Sarasota County,12115,379448,ND,ND,IN,IN,0.065,54,6.8,15,ND
Florida,Seminole County,12117,422718,ND,ND,ND,ND,0.062,49,6.9,15,ND
Florida,Volusia County,12127,494593,ND,ND,ND,ND,0.056,50,7.5,16,ND
Florida,Wakulla County,12129,30776,1,ND,ND,ND,0.058,ND,ND,ND,IN
Georgia,Bibb County,13021,155547,ND,ND,ND,ND,0.066,ND,9.1,17,3
Georgia,Chatham County,13051,265128,ND,ND,ND,ND,0.06,ND,IN,IN,50
Georgia,Chattooga County,13055,26015,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Georgia,Clarke County,13059,116714,ND,ND,ND,ND,0.063,ND,9.8,21,ND
Georgia,Clayton County,13063,259424,ND,ND,ND,ND,ND,ND,8.7,17,ND
Georgia,Cobb County,13067,688078,ND,ND,ND,ND,0.067,ND,8.6,18,ND
Georgia,Coffee County,13069,42356,ND,ND,ND,ND,ND,ND,7.2,17,ND
Georgia,Columbia County,13073,124053,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Georgia,Dawson County,13085,22330,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Georgia,DeKalb County,13089,691893,1,ND,15,50,0.073,40,8.4,19,2
Georgia,Dougherty County,13095,94565,ND,ND,ND,ND,ND,ND,9.3,26,ND
Georgia,Douglas County,13097,132403,ND,ND,ND,ND,0.072,ND,ND,ND,ND
Georgia,Floyd County,13115,96317,ND,ND,ND,ND,ND,ND,IN,IN,22
Georgia,Fulton County,13121,920581,2,ND,16,IN,0.075,28,9.5,19,5
Georgia,Glynn County,13127,79626,ND,ND,ND,ND,0.06,ND,7.6,17,ND
Georgia,Gwinnett County,13135,805321,ND,ND,ND,ND,0.068,ND,10.8,24,ND
Georgia,Hall County,13139,179684,ND,ND,ND,ND,ND,ND,9.3,19,ND
Georgia,Henry County,13151,203922,ND,ND,ND,ND,0.075,ND,ND,ND,ND
Georgia,Houston County,13153,139900,ND,ND,ND,ND,ND,ND,9.5,19,ND
Georgia,Lowndes County,13185,109233,ND,ND,ND,ND,ND,ND,7.6,15,ND
Georgia,Murray County,13213,39628,ND,ND,ND,ND,0.067,ND,ND,ND,ND
Georgia,Muscogee County,13215,189885,ND,0.03,ND,ND,0.063,ND,9.1,20,ND
Georgia,Paulding County,13223,142324,ND,ND,ND,ND,ND,ND,IN,IN,ND
Georgia,Pike County,13231,17869,ND,ND,ND,ND,0.068,ND,ND,ND,ND
Georgia,Richmond County,13245,200549,ND,ND,ND,ND,0.066,25,10.7,22,49
Georgia,Rockdale County,13247,85215,ND,ND,ND,ND,0.072,ND,ND,ND,ND
Georgia,Sumter County,13261,32819,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Georgia,Walker County,13295,68756,ND,ND,ND,ND,ND,ND,9,19,ND
Georgia,Washington County,13303,21187,ND,ND,ND,ND,ND,ND,8.2,17,ND
Georgia,Wilkinson County,13319,9563,ND,ND,ND,ND,ND,ND,IN,IN,ND
Hawaii,Hawaii County,15001,185079,ND,ND,ND,ND,ND,ND,3.2,8,11
Hawaii,Honolulu County,15003,953207,1,ND,4,28,0.053,32,3.9,8,62
Hawaii,Kauai County,15007,67091,ND,ND,4,38,ND,ND,2.9,8,IN
Hawaii,Maui County,15009,154834,ND,ND,ND,ND,ND,ND,4.1,17,ND
Idaho,Ada County,16001,392365,1,ND,IN,IN,0.057,62,5.2,15,3
Idaho,Bannock County,16005,82839,ND,ND,ND,ND,ND,67,IN,IN,39
Idaho,Benewah County,16009,9285,ND,ND,ND,ND,ND,ND,9.9,35,ND
Idaho,Boise County,16015,7028,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Bonner County,16017,40877,ND,ND,ND,ND,ND,40,IN,IN,ND
Idaho,Bonneville County,16019,104234,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Boundary County,16021,10972,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Butte County,16023,2891,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Idaho,Canyon County,16027,188923,ND,ND,ND,ND,ND,83,6.9,25,ND
Idaho,Caribou County,16029,6963,ND,ND,ND,ND,ND,ND,IN,IN,44
Idaho,Franklin County,16041,12786,ND,ND,ND,ND,ND,ND,5.8,30,ND
Idaho,Gem County,16045,16719,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Idaho County,16049,16267,ND,ND,ND,ND,0.052,ND,IN,IN,ND
Idaho,Jerome County,16053,22374,ND,ND,ND,ND,ND,ND,3.9,9,ND
Idaho,Kootenai County,16055,138494,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Latah County,16057,37244,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Lemhi County,16059,7936,ND,ND,ND,ND,ND,ND,8.3,32,ND
Idaho,Nez Perce County,16069,39265,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Power County,16077,7817,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Shoshone County,16079,12765,ND,ND,ND,ND,ND,43,9.6,32,ND
Idaho,Twin Falls County,16083,77230,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Valley County,16085,9862,ND,ND,ND,ND,ND,ND,IN,IN,ND
Illinois,Adams County,17001,67103,ND,ND,ND,ND,0.062,ND,IN,IN,ND
Illinois,Champaign County,17019,201081,IN,ND,ND,ND,0.062,ND,7.8,20,4
Illinois,Clark County,17023,16335,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Illinois,Cook County,17031,5194675,2,0.01,17,56,0.071,70,10.8,26,11
Illinois,DuPage County,17043,916924,ND,ND,ND,ND,0.07,ND,IN,IN,ND
Illinois,Effingham County,17049,34242,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Illinois,Hamilton County,17065,8457,ND,ND,ND,ND,0.064,ND,8.3,17,ND
Illinois,Jersey County,17083,22985,ND,ND,ND,ND,0.069,ND,8,17,ND
Illinois,Jo Daviess County,17085,22678,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Illinois,Kane County,17089,515269,ND,ND,ND,ND,0.071,ND,8.7,25,ND
Illinois,Lake County,17097,703462,ND,ND,ND,ND,0.066,ND,IN,IN,ND
Illinois,LaSalle County,17099,113924,ND,ND,ND,ND,ND,ND,IN,IN,22
Illinois,McHenry County,17111,308760,ND,ND,ND,ND,0.07,ND,7.8,19,ND
Illinois,McLean County,17113,169572,ND,ND,ND,ND,0.063,ND,9.2,21,ND
Illinois,Macon County,17115,110768,ND,ND,ND,ND,0.063,ND,9.5,20,42
Illinois,Macoupin County,17117,47765,ND,ND,2,15,0.063,ND,IN,IN,5
Illinois,Madison County,17119,269282,ND,0.15,ND,ND,0.07,99,10.5,25,9
Illinois,Monroe County,17133,32957,ND,ND,ND,ND,ND,ND,ND,ND,IN
Illinois,Peoria County,17143,186494,ND,ND,ND,ND,0.064,ND,8,19,ND
Illinois,Randolph County,17157,33476,ND,ND,ND,ND,0.06,ND,IN,IN,ND
Illinois,Rock Island County,17161,147546,ND,ND,ND,ND,0.066,ND,8.6,20,ND
Illinois,St. Clair County,17163,270056,1,ND,9,39,0.064,ND,9.1,23,11
Illinois,Sangamon County,17167,197465,ND,ND,ND,ND,0.062,ND,8.2,18,ND
Illinois,Tazewell County,17179,135394,ND,ND,ND,ND,ND,ND,ND,ND,17
Illinois,Wabash County,17185,11947,ND,ND,ND,ND,ND,ND,ND,ND,31
Illinois,Will County,17197,677560,ND,ND,ND,ND,0.06,ND,9.7,21,ND
Illinois,Winnebago County,17201,295266,ND,ND,ND,ND,0.066,ND,IN,IN,ND
Indiana,Allen County,18003,355329,ND,ND,ND,ND,0.063,ND,9,22,ND
Indiana,Bartholomew County,18005,76794,ND,ND,ND,ND,0.062,ND,6.9,16,ND
Indiana,Boone County,18011,56640,ND,ND,ND,ND,0.066,ND,ND,ND,ND
Indiana,Brown County,18013,15242,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Indiana,Carroll County,18015,20155,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Indiana,Clark County,18019,110232,ND,ND,ND,ND,0.064,IN,7.2,14,ND
