State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5     Wtd AM (µg/m3) ,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
Indiana,Daviess County,18027,31648,ND,ND,ND,ND,ND,ND,ND,ND,12
Indiana,Delaware County,18035,117671,ND,0.03,ND,ND,0.059,ND,8.3,19,ND
Indiana,Dubois County,18037,41889,ND,ND,ND,ND,ND,30,8.4,19,ND
Indiana,Elkhart County,18039,197559,ND,ND,ND,ND,0.058,ND,IN,IN,ND
Indiana,Floyd County,18043,74578,ND,ND,ND,ND,0.063,ND,IN,IN,IN
Indiana,Gibson County,18051,33503,ND,ND,ND,ND,ND,ND,IN,IN,41
Indiana,Greene County,18055,33165,ND,ND,ND,ND,0.062,ND,7.7,16,ND
Indiana,Hamilton County,18057,274569,ND,ND,ND,ND,0.064,ND,8.3,17,ND
Indiana,Hendricks County,18063,145448,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Indiana,Henry County,18065,49462,ND,ND,ND,ND,ND,ND,7.7,17,ND
Indiana,Howard County,18067,82752,ND,ND,ND,ND,0.063,ND,7.3,18,ND
Indiana,Huntington County,18069,37124,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Indiana,Jackson County,18071,42376,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Indiana,Knox County,18083,38440,ND,ND,ND,ND,0.061,ND,IN,IN,ND
Indiana,Lake County,18089,496005,2,0.19,9,IN,0.065,73,10.3,25,20
Indiana,LaPorte County,18091,111467,ND,ND,ND,ND,0.071,ND,7.9,24,ND
Indiana,Madison County,18095,131636,ND,ND,ND,ND,0.064,ND,8.4,17,ND
Indiana,Marion County,18097,903393,2,ND,9,37,0.067,57,12.6,27,IN
Indiana,Monroe County,18105,137974,ND,ND,ND,ND,ND,ND,7.3,16,ND
Indiana,Montgomery County,18107,38124,ND,ND,ND,ND,ND,ND,IN,IN,ND
Indiana,Morgan County,18109,68894,ND,ND,ND,ND,0.064,ND,ND,ND,IN
Indiana,Perry County,18123,19338,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Indiana,Pike County,18125,12845,ND,ND,ND,ND,ND,ND,ND,ND,IN
Indiana,Porter County,18127,164343,ND,0.01,ND,ND,0.071,69,IN,IN,79
Indiana,Posey County,18129,25910,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Indiana,St. Joseph County,18141,266931,ND,ND,9,40,0.065,ND,8.3,22,ND
Indiana,Shelby County,18145,44436,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Indiana,Spencer County,18147,20952,ND,ND,ND,ND,ND,ND,8,18,ND
Indiana,Sullivan County,18153,21475,ND,ND,ND,ND,ND,ND,8.1,16,ND
Indiana,Tippecanoe County,18157,172780,ND,ND,ND,ND,ND,ND,8.8,18,ND
Indiana,Vanderburgh County,18163,179703,1,ND,8,32,0.064,27,8.7,21,8
Indiana,Vigo County,18167,107848,ND,ND,ND,ND,0.063,31,9.6,21,4
Indiana,Wabash County,18169,32888,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Indiana,Warrick County,18173,59689,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Indiana,Whitley County,18183,33292,ND,ND,ND,ND,ND,ND,8,22,ND
Iowa,Black Hawk County,19013,131090,ND,ND,ND,ND,ND,ND,7.7,20,ND
Iowa,Bremer County,19017,24276,ND,ND,ND,ND,0.062,ND,IN,IN,ND
Iowa,Cerro Gordo County,19033,44151,ND,ND,ND,ND,ND,41,IN,IN,ND
Iowa,Clinton County,19045,49116,ND,ND,ND,ND,0.058,ND,9,25,15
Iowa,Delaware County,19055,17764,ND,ND,ND,ND,ND,ND,IN,IN,ND
Iowa,Emmet County,19063,10302,ND,ND,ND,ND,ND,ND,IN,IN,ND
Iowa,Harrison County,19085,14928,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Iowa,Johnson County,19103,130882,ND,ND,ND,ND,ND,ND,7.6,20,ND
Iowa,Lee County,19111,35862,ND,ND,ND,ND,ND,ND,8.3,20,ND
Iowa,Linn County,19113,211226,ND,ND,ND,ND,0.06,38,7.9,20,25
Iowa,Montgomery County,19137,10740,ND,ND,ND,ND,0.059,ND,6.5,15,ND
Iowa,Muscatine County,19139,42745,ND,ND,ND,ND,ND,36,8.1,23,25
Iowa,Palo Alto County,19147,9421,ND,ND,ND,ND,0.065,ND,6.4,20,ND
Iowa,Polk County,19153,430640,1,ND,6,37,0.064,39,7,19,ND
Iowa,Pottawattamie County,19155,93158,ND,0.06,ND,ND,ND,48,7.7,18,ND
Iowa,Scott County,19163,165224,1,ND,ND,ND,0.062,129,8.5,22,5
Iowa,Story County,19169,89542,ND,ND,ND,ND,ND,ND,IN,IN,ND
Iowa,Tama County,19171,17767,ND,ND,ND,ND,ND,ND,IN,IN,ND
Iowa,Van Buren County,19177,7570,ND,ND,2,9,0.061,37,7.2,16,1
Iowa,Woodbury County,19193,102172,ND,ND,ND,ND,ND,ND,7.4,22,ND
Iowa,Wright County,19197,13229,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kansas,Ford County,20057,33848,ND,ND,ND,ND,ND,60,ND,ND,ND
Kansas,Johnson County,20091,544179,ND,ND,ND,ND,0.054,ND,IN,IN,ND
Kansas,Leavenworth County,20103,76227,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Kansas,Linn County,20107,9656,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kansas,Neosho County,20133,16512,ND,ND,2,IN,0.06,56,8.9,20,3
Kansas,Saline County,20169,55606,ND,0.05,ND,ND,ND,ND,ND,ND,ND
Kansas,Sedgwick County,20173,498365,ND,ND,6,IN,0.062,51,IN,IN,ND
Kansas,Shawnee County,20177,177934,ND,ND,ND,ND,0.061,52,IN,IN,ND
Kansas,Sherman County,20181,6010,ND,ND,ND,ND,ND,60,ND,ND,ND
Kansas,Sumner County,20191,24132,ND,ND,3,21,0.062,64,7.5,18,3
Kansas,Trego County,20195,3001,ND,ND,1,IN,0.058,37,IN,IN,IN
Kansas,Wyandotte County,20209,157505,1,ND,8,IN,0.058,53,IN,IN,IN
Kentucky,Bell County,21013,28691,ND,ND,ND,ND,0.059,ND,7.3,17,ND
Kentucky,Boone County,21015,118811,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Kentucky,Boyd County,21019,49542,ND,ND,5,27,0.059,40,7.6,15,4
Kentucky,Bullitt County,21029,74319,ND,ND,ND,ND,0.063,ND,IN,IN,ND
Kentucky,Campbell County,21037,90336,ND,ND,4,27,0.062,ND,8,17,8
Kentucky,Carter County,21043,27720,ND,ND,ND,ND,0.055,16,5.7,12,ND
Kentucky,Christian County,21047,73955,ND,ND,ND,ND,0.056,ND,IN,IN,ND
Kentucky,Daviess County,21059,96656,ND,ND,4,27,0.062,ND,8.5,20,34
Kentucky,Edmonson County,21061,12161,0,ND,ND,ND,0.06,ND,IN,IN,2
Kentucky,Fayette County,21067,295803,ND,ND,6,42,0.058,28,8,17,4
Kentucky,Franklin County,21073,49285,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kentucky,Greenup County,21089,36910,ND,ND,ND,ND,0.055,ND,ND,ND,9
Kentucky,Hancock County,21091,8565,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Kentucky,Hardin County,21093,105543,ND,ND,ND,ND,0.058,ND,7.3,15,ND
Kentucky,Henderson County,21101,46250,ND,ND,ND,ND,ND,IN,IN,IN,99
Kentucky,Jefferson County,21111,741096,2,ND,15,49,0.068,40,10.5,23,15
Kentucky,Jessamine County,21113,48586,ND,ND,ND,ND,0.059,ND,ND,ND,4
Kentucky,Kenton County,21117,159720,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kentucky,Laurel County,21125,58849,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kentucky,Livingston County,21139,9519,ND,ND,ND,ND,0.06,24,ND,ND,ND
Kentucky,McCracken County,21145,65565,ND,ND,5,32,0.061,28,9.3,21,13
Kentucky,Madison County,21151,82916,ND,0.02,ND,ND,ND,ND,IN,IN,ND
Kentucky,Morgan County,21175,13923,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Kentucky,Ohio County,21183,23842,ND,ND,ND,ND,ND,ND,IN,IN,ND
Kentucky,Oldham County,21185,60316,ND,ND,ND,ND,0.065,ND,ND,ND,ND
Kentucky,Perry County,21193,28712,ND,ND,ND,ND,0.061,ND,7.7,15,ND
Kentucky,Pike County,21195,65024,ND,ND,ND,ND,0.056,ND,6.8,13,ND
Kentucky,Pulaski County,21199,63063,ND,ND,ND,ND,0.057,ND,7,14,ND
Kentucky,Simpson County,21213,17327,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Kentucky,Trigg County,21221,14339,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Kentucky,Warren County,21227,113792,ND,ND,ND,ND,0.056,ND,8.1,17,ND
Kentucky,Washington County,21229,11717,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Louisiana,Ascension Parish,22005,107215,ND,ND,6,30,0.065,ND,ND,ND,ND
Louisiana,Bossier Parish,22015,116979,ND,ND,ND,ND,0.059,44,ND,ND,5
Louisiana,Caddo Parish,22017,254969,ND,ND,ND,ND,0.061,ND,10.7,23,ND
Louisiana,Calcasieu Parish,22019,192768,ND,ND,8,39,0.065,ND,6.8,14,26
Louisiana,Concordia Parish,22029,20822,ND,ND,ND,ND,ND,ND,IN,IN,ND
Louisiana,East Baton Rouge Parish,22033,440171,1,0,10,45,0.066,51,9.2,23,15
Louisiana,Iberville Parish,22047,33387,ND,ND,3,23,0.07,ND,8.4,19,ND
Louisiana,Jefferson Parish,22051,432552,ND,ND,5,36,0.063,ND,7.7,16,ND
Louisiana,Lafayette Parish,22055,221578,ND,ND,ND,ND,0.063,52,7.9,17,ND
Louisiana,Lafourche Parish,22057,96318,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Louisiana,Livingston Parish,22063,128026,ND,ND,2,13,0.063,ND,ND,ND,ND
Louisiana,Orleans Parish,22071,343829,2,ND,10,43,ND,79,7.8,17,ND
Louisiana,Ouachita Parish,22073,153720,ND,ND,ND,ND,0.059,ND,7.2,15,ND
Louisiana,Plaquemines Parish,22075,23042,ND,ND,ND,ND,ND,ND,IN,IN,ND
Louisiana,Pointe Coupee Parish,22077,22802,ND,ND,ND,ND,0.069,ND,ND,ND,ND
Louisiana,Rapides Parish,22079,131613,ND,ND,ND,ND,ND,ND,7.5,16,ND
Louisiana,St. Bernard Parish,22087,35897,ND,ND,ND,ND,0.061,59,7.8,15,40
Louisiana,St. Charles Parish,22089,52780,ND,ND,ND,ND,ND,ND,IN,IN,53
Louisiana,St. James Parish,22093,22102,ND,ND,ND,ND,0.062,ND,ND,ND,2
Louisiana,St. John the Baptist Parish,22095,45924,ND,0.09,ND,ND,0.061,ND,ND,ND,ND
Louisiana,St. Martin Parish,22099,52160,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Louisiana,St. Tammany Parish,22103,233740,ND,ND,ND,ND,0.062,ND,IN,IN,ND
Louisiana,Tangipahoa Parish,22105,121097,ND,ND,ND,ND,ND,ND,7.6,18,ND
Louisiana,Terrebonne Parish,22109,111860,ND,ND,ND,ND,ND,ND,7.5,18,ND
Louisiana,West Baton Rouge Parish,22121,23788,ND,ND,9,IN,0.063,ND,8.9,21,16
Maine,Androscoggin County,23001,107702,ND,ND,ND,ND,0.05,37,5.2,14,ND
Maine,Aroostook County,23003,71870,1,ND,IN,IN,0.053,29,5.8,16,2
Maine,Cumberland County,23005,281674,1,ND,7,40,0.062,91,8.7,20,IN
Maine,Franklin County,23007,30768,ND,ND,ND,ND,ND,ND,IN,IN,ND
Maine,Hancock County,23009,54418,0,ND,ND,ND,0.064,16,3.3,11,1
Maine,Kennebec County,23011,122151,ND,ND,3,27,0.054,IN,IN,IN,1
Maine,Knox County,23013,39736,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Maine,Oxford County,23017,57833,ND,ND,ND,ND,0.054,ND,4.5,13,ND
Maine,Penobscot County,23019,153923,ND,ND,ND,ND,0.054,43,4.3,13,ND
Maine,Washington County,23029,32856,ND,ND,ND,ND,0.054,ND,ND,ND,ND
Maine,York County,23031,197131,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Maryland,Allegany County,24001,75087,ND,ND,ND,ND,ND,ND,ND,ND,144
Maryland,Anne Arundel County,24003,537656,ND,ND,ND,ND,0.076,27,IN,IN,IN
Maryland,Baltimore County,24005,805029,2,ND,14,41,0.074,ND,8.2,31,11
Maryland,Calvert County,24009,88737,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Maryland,Carroll County,24013,167134,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Maryland,Cecil County,24015,101108,ND,ND,ND,ND,0.068,ND,6.4,18,ND
Maryland,Charles County,24017,146551,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Maryland,Dorchester County,24019,32618,ND,ND,ND,ND,0.067,ND,5.9,14,2
Maryland,Frederick County,24021,233385,ND,ND,ND,ND,0.065,ND,ND,ND,ND
Maryland,Garrett County,24023,30097,0,ND,IN,IN,0.059,ND,5.6,12,IN
Maryland,Harford County,24025,244826,ND,ND,ND,ND,0.077,ND,7,19,ND
Maryland,Howard County,24027,287085,1,ND,16,38,ND,ND,7.4,17,ND
Maryland,Kent County,24029,20197,ND,ND,ND,ND,0.066,ND,5.9,15,ND
Maryland,Montgomery County,24031,971777,ND,ND,ND,ND,0.062,ND,6.1,18,ND
Maryland,Prince George's County,24033,863420,1,ND,5,IN,0.075,20,7,15,4
Maryland,Washington County,24043,147430,ND,ND,ND,ND,0.059,ND,6.9,24,ND
Maryland,Baltimore city,24510,620961,ND,ND,12,IN,0.076,34,8.3,20,ND
Massachusetts,Barnstable County,25001,215888,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Massachusetts,Berkshire County,25003,131219,ND,ND,ND,ND,0.06,ND,7.1,17,ND
Massachusetts,Bristol County,25005,548285,ND,ND,ND,ND,0.062,ND,IN,IN,IN
Massachusetts,Dukes County,25007,16535,ND,ND,ND,ND,0.071,ND,ND,ND,ND
Massachusetts,Essex County,25009,743159,ND,ND,5,35,0.065,ND,6.6,16,ND
Massachusetts,Franklin County,25011,71372,ND,ND,ND,ND,0.056,ND,6.5,17,ND
Massachusetts,Hampden County,25013,463490,1,ND,10,44,0.066,ND,7.7,17,3
Massachusetts,Hampshire County,25015,158080,ND,ND,2,20,0.066,15,5.6,16,1
Massachusetts,Middlesex County,25017,1503085,ND,ND,10,41,0.057,ND,7,15,ND
Massachusetts,Norfolk County,25021,670850,ND,ND,3,25,0.059,ND,IN,IN,ND
Massachusetts,Plymouth County,25023,494919,ND,ND,ND,ND,0.061,ND,6.8,14,ND
Massachusetts,Suffolk County,25025,722023,1,ND,14,49,0.061,27,7.5,17,2
Massachusetts,Worcester County,25027,798552,1,ND,10,48,0.06,37,8,16,2
Michigan,Allegan County,26005,111408,ND,ND,ND,ND,0.071,ND,7.2,18,ND
Michigan,Alpena County,26007,29598,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Bay County,26017,107771,ND,ND,ND,ND,ND,ND,6.8,18,ND
Michigan,Benzie County,26019,17525,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Michigan,Berrien County,26021,156813,ND,ND,ND,ND,0.066,ND,IN,IN,ND
Michigan,Cass County,26027,52293,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Michigan,Chippewa County,26033,38520,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Clinton County,26037,75382,ND,ND,ND,ND,0.055,ND,ND,ND,ND
Michigan,Dickinson County,26043,26168,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Emmet County,26047,32694,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Genesee County,26049,425790,ND,ND,ND,ND,0.06,ND,7.4,19,ND
Michigan,Grand Traverse County,26055,86986,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Huron County,26063,33118,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Michigan,Ingham County,26065,280895,ND,ND,7,44,0.055,ND,IN,IN,4
Michigan,Ionia County,26067,63905,ND,0.09,ND,ND,ND,ND,ND,ND,ND
Michigan,Iron County,26071,11817,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,Kalamazoo County,26077,250331,ND,ND,ND,ND,0.061,ND,IN,IN,ND
Michigan,Kent County,26081,602622,1,0.01,ND,ND,0.065,49,8,23,2
Michigan,Lenawee County,26091,99892,ND,ND,ND,ND,0.059,ND,8.5,22,ND
Michigan,Macomb County,26099,840978,ND,ND,ND,ND,0.063,ND,7.3,19,ND
Michigan,Manistee County,26101,24733,ND,ND,ND,ND,0.062,ND,IN,IN,ND
Michigan,Mason County,26105,28705,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Michigan,Missaukee County,26113,14849,ND,ND,1,8,0.058,ND,IN,IN,ND
Michigan,Monroe County,26115,152021,ND,ND,ND,ND,ND,70,IN,IN,9
Michigan,Muskegon County,26121,172188,ND,ND,ND,ND,0.068,ND,IN,IN,ND
Michigan,Oakland County,26125,1202362,ND,ND,ND,ND,0.066,ND,7.7,18,ND
Michigan,Ottawa County,26139,263801,ND,ND,6,36,0.065,104,8.3,24,14
Michigan,Saginaw County,26145,200169,ND,ND,ND,ND,ND,ND,IN,IN,ND
Michigan,St. Clair County,26147,163040,ND,0.02,ND,ND,0.07,ND,7.6,20,64
Michigan,Schoolcraft County,26153,8485,ND,ND,ND,ND,0.059,ND,4.3,14,ND
Michigan,Tuscola County,26157,55729,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Michigan,Washtenaw County,26161,344791,ND,ND,ND,ND,0.06,ND,8.5,22,ND
Michigan,Wayne County,26163,1820584,2,0.03,16,50,0.068,89,12.1,31,61
Michigan,Wexford County,26165,32735,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Minnesota,Anoka County,27003,330844,1,0.01,7,41,0.062,32,6.7,19,2
Minnesota,Becker County,27005,32504,ND,ND,ND,ND,0.059,ND,5.1,16,ND
Minnesota,Beltrami County,27007,44442,ND,ND,ND,ND,ND,ND,6,16,ND
Minnesota,Carlton County,27017,35386,ND,ND,ND,ND,0.057,ND,3.1,11,ND
Minnesota,Cass County,27021,28567,ND,ND,ND,ND,ND,ND,4.2,16,ND
Minnesota,Cook County,27031,5176,ND,ND,ND,ND,ND,ND,4.4,13,ND
Minnesota,Crow Wing County,27035,62500,ND,ND,ND,ND,0.065,ND,4.3,17,ND
Minnesota,Dakota County,27037,398552,1,0.07,8,25,ND,ND,7,21,10
Minnesota,Douglas County,27041,36009,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Freeborn County,27047,31255,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Goodhue County,27049,46183,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Minnesota,Hennepin County,27053,1152425,1,0.04,IN,IN,0.054,98,8,23,5
Minnesota,Itasca County,27061,45058,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Kandiyohi County,27067,42239,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Lake County,27075,10866,ND,ND,ND,ND,0.055,74,4.2,13,ND
Minnesota,Lyon County,27083,25857,ND,ND,ND,ND,0.06,ND,5.9,18,ND
Minnesota,McLeod County,27085,36651,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Mille Lacs County,27095,26097,ND,ND,ND,ND,0.06,ND,IN,IN,ND
Minnesota,Nicollet County,27103,32727,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Olmsted County,27109,144248,ND,ND,ND,ND,0.054,ND,IN,IN,ND
Minnesota,Otter Tail County,27111,57303,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Ramsey County,27123,508640,IN,0,ND,ND,ND,81,7.8,23,ND
Minnesota,St. Louis County,27137,200226,ND,0,ND,ND,0.056,81,5.5,18,ND
Minnesota,Scott County,27139,129928,ND,ND,ND,ND,0.062,ND,6.8,19,ND
Minnesota,Stearns County,27145,150642,ND,ND,ND,ND,0.061,ND,IN,IN,ND
Minnesota,Washington County,27163,238136,ND,0,ND,ND,0.058,70,IN,IN,9
Minnesota,Winona County,27169,51461,ND,ND,ND,ND,ND,ND,IN,IN,ND
Minnesota,Wright County,27171,124700,ND,ND,ND,ND,0.061,ND,5.5,19,ND
Mississippi,Adams County,28001,32297,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Bolivar County,28011,34145,ND,ND,ND,ND,0.062,ND,9,21,ND
Mississippi,DeSoto County,28033,161252,ND,ND,ND,ND,0.066,ND,8.2,17,ND
Mississippi,Forrest County,28035,74934,ND,ND,ND,ND,ND,ND,8.8,19,ND
Mississippi,Grenada County,28043,21906,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Hancock County,28045,43929,ND,ND,ND,ND,0.06,ND,7.6,18,ND
Mississippi,Harrison County,28047,187105,ND,ND,ND,ND,0.06,ND,9.2,20,ND
Mississippi,Hinds County,28049,245285,1,ND,7,37,0.064,60,9.8,23,2
Mississippi,Jackson County,28059,139668,ND,ND,4,28,0.061,ND,8.6,20,5
Mississippi,Jones County,28067,67761,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Lauderdale County,28075,80261,ND,ND,ND,ND,0.059,ND,IN,IN,ND
Mississippi,Lee County,28081,82910,ND,ND,ND,ND,0.061,ND,IN,IN,ND
Mississippi,Lowndes County,28087,59779,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Pearl River County,28109,55834,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Rankin County,28121,141617,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Scott County,28123,28264,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Warren County,28149,48773,ND,ND,ND,ND,ND,ND,IN,IN,ND
Mississippi,Yalobusha County,28161,12678,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Missouri,Andrew County,29003,17291,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Missouri,Boone County,29019,162642,ND,ND,ND,ND,0.058,ND,IN,IN,ND
Missouri,Buchanan County,29021,89201,ND,ND,ND,ND,ND,94,8.5,18,ND
Missouri,Callaway County,29027,44332,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Missouri,Cass County,29037,99478,ND,ND,ND,ND,0.064,ND,6.3,16,ND
Missouri,Cedar County,29039,13982,ND,ND,ND,ND,0.058,ND,7.5,18,ND
Missouri,Clay County,29047,221939,ND,ND,ND,ND,0.063,ND,6.2,16,ND
Missouri,Clinton County,29049,20743,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Missouri,Franklin County,29071,101492,ND,ND,ND,ND,ND,ND,ND,ND,30
Missouri,Greene County,29077,275174,ND,ND,ND,ND,0.06,33,IN,IN,ND
Missouri,Holt County,29087,4912,ND,0.02,ND,ND,ND,ND,ND,ND,ND
Missouri,Howell County,29091,40400,ND,ND,ND,ND,ND,ND,IN,IN,ND
Missouri,Iron County,29093,10630,ND,0.22,ND,ND,ND,ND,ND,ND,50
Missouri,Jackson County,29095,674158,1,ND,11,47,ND,71,7.6,17,7
Missouri,Jasper County,29097,117404,ND,ND,ND,ND,0.061,88,IN,IN,ND
Missouri,Jefferson County,29099,218733,ND,0.1,ND,ND,0.066,27,6.6,17,24
Missouri,Lincoln County,29113,52566,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Missouri,Maries County,29125,9176,ND,ND,ND,ND,ND,ND,IN,IN,ND
Missouri,Mercer County,29129,3785,ND,ND,ND,ND,ND,ND,IN,IN,ND
Missouri,Monroe County,29137,8840,ND,ND,2,8,0.057,26,IN,IN,4
Missouri,New Madrid County,29143,18956,ND,ND,ND,ND,ND,ND,ND,ND,428
Missouri,Perry County,29157,18971,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Missouri,Reynolds County,29179,6696,ND,0.02,ND,ND,ND,ND,ND,ND,ND
Missouri,St. Charles County,29183,360485,ND,ND,ND,ND,0.069,ND,IN,IN,36
Missouri,Ste. Genevieve County,29186,18145,ND,ND,ND,ND,0.06,ND,IN,IN,ND
Missouri,St. Francois County,29187,65359,ND,0.01,ND,ND,ND,ND,ND,ND,ND
Missouri,St. Louis County,29189,998954,ND,ND,10,40,0.069,ND,9.1,21,14
Missouri,St. Louis city,29510,319294,2,ND,11,45,0.064,91,9.3,23,9
Montana,Cascade County,30013,81327,ND,ND,ND,ND,ND,ND,IN,IN,ND
Montana,Fergus County,30027,11586,ND,ND,1,11,0.058,34,3.8,11,ND
Montana,Flathead County,30029,90928,ND,ND,ND,ND,0.053,83,6.6,24,ND
Montana,Gallatin County,30031,89513,0,ND,2,IN,ND,ND,0.9,5,ND
Montana,Lake County,30047,28746,ND,ND,ND,ND,ND,ND,IN,IN,ND
Montana,Lewis and Clark County,30049,63395,0,ND,ND,ND,0.062,ND,8.6,30,3
Montana,Lincoln County,30053,19687,ND,ND,ND,ND,ND,62,11.4,30,ND
Montana,Missoula County,30063,109299,ND,ND,ND,ND,0.035,77,8.5,21,ND
Montana,Phillips County,30071,4253,ND,ND,1,7,0.056,28,4.1,11,ND
Montana,Powder River County,30075,1743,ND,ND,IN,IN,0.064,101,5.3,14,ND
Montana,Ravalli County,30081,40212,ND,ND,ND,ND,ND,ND,4.6,18,ND
Montana,Richland County,30083,9746,ND,ND,1,11,0.06,58,4.5,11,9
Montana,Rosebud County,30087,9233,ND,ND,1,6,0.057,78,4.3,13,ND
Montana,Sanders County,30089,11413,ND,ND,ND,ND,ND,43,IN,IN,ND
Montana,Silver Bow County,30093,34200,ND,ND,ND,ND,ND,56,5.3,21,ND
